Source,Target,Weight,Type
barrili_castelg_1875,barrili_gavone_1875,60,undirected
barrili_castelg_1875,barrili_ilritra_1905,1,undirected
barrili_castelg_1875,barrili_rossi_1906,34,undirected
barrili_castelg_1875,barrili_semirami_1895,36,undirected
barrili_castelg_1875,zena_apostolo_1901,3,undirected
barrili_gavone_1875,barrili_castelg_1875,60,undirected
barrili_gavone_1875,barrili_ilritra_1905,2,undirected
barrili_gavone_1875,barrili_rossi_1906,42,undirected
barrili_gavone_1875,barrili_semirami_1895,32,undirected
barrili_gavone_1875,manzoni_ipromessi_1842,1,undirected
barrili_gavone_1875,zena_apostolo_1901,7,undirected
barrili_ilritra_1905,barrili_castelg_1875,1,undirected
barrili_ilritra_1905,barrili_gavone_1875,2,undirected
barrili_ilritra_1905,barrili_iltesor_1879,14,undirected
barrili_ilritra_1905,barrili_ledueb_1890,26,undirected
barrili_ilritra_1905,barrili_lundec_1881,15,undirected
barrili_ilritra_1905,barrili_montanara_1886,1,undirected
barrili_ilritra_1905,barrili_olmo_1869,7,undirected
barrili_ilritra_1905,barrili_rossi_1906,12,undirected
barrili_ilritra_1905,barrili_tracielo_1907,1,undirected
barrili_iltesor_1879,barrili_ilritra_1905,14,undirected
barrili_iltesor_1879,barrili_ledueb_1890,25,undirected
barrili_iltesor_1879,barrili_lundec_1881,42,undirected
barrili_iltesor_1879,barrili_montanara_1886,41,undirected
barrili_iltesor_1879,barrili_olmo_1869,19,undirected
barrili_iltesor_1879,barrili_ponte_1904,3,undirected
barrili_iltesor_1879,barrili_rossi_1906,5,undirected
barrili_iltesor_1879,barrili_tracielo_1907,7,undirected
barrili_ledueb_1890,barrili_ilritra_1905,26,undirected
barrili_ledueb_1890,barrili_iltesor_1879,25,undirected
barrili_ledueb_1890,barrili_lundec_1881,5,undirected
barrili_ledueb_1890,barrili_montanara_1886,36,undirected
barrili_ledueb_1890,barrili_ponte_1904,5,undirected
barrili_ledueb_1890,barrili_rossi_1906,8,undirected
barrili_ledueb_1890,barrili_tracielo_1907,5,undirected
barrili_ledueb_1890,manzoni_fermo_1823,3,undirected
barrili_lundec_1881,barrili_ilritra_1905,15,undirected
barrili_lundec_1881,barrili_iltesor_1879,42,undirected
barrili_lundec_1881,barrili_ledueb_1890,5,undirected
barrili_lundec_1881,barrili_montanara_1886,53,undirected
barrili_lundec_1881,barrili_ponte_1904,2,undirected
barrili_lundec_1881,barrili_rossi_1906,6,undirected
barrili_lundec_1881,collodi_ragazzigrandi_1876,18,undirected
barrili_lundec_1881,manzoni_ipromessi_1842,2,undirected
barrili_lundec_1881,zena_apostolo_1901,4,undirected
